timestamp	phase	detail
1785718761.020607293	cycle-start	1
1785718791.269673096	cycle-stop	1
1785718791.711842070	cycle-start	2
1785718821.959388264	cycle-stop	2
1785718822.414512500	cycle-start	3
1785718852.663881304	cycle-stop	3
1785718853.088403814	cycle-start	4
1785718883.338762311	cycle-stop	4
1785718883.772670713	cycle-start	5
1785718914.015271104	cycle-stop	5
1785718914.441886096	cycle-start	6
1785718944.690224817	cycle-stop	6
