timestamp	phase	detail
1785718161.302287737	start	cycle-reset
1785718161.306494213	load	1
1785718163.497650603	reset	1
1785718193.509803591	load	2
1785718195.691687495	reset	2
1785718225.706066289	load	3
1785718227.949546516	reset	3
1785718257.963953982	load	4
1785718260.208174949	reset	4
1785718290.222709988	load	5
1785718292.467731454	reset	5
1785718322.482072290	load	6
1785718324.725667087	reset	6
