timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785715467.241674,hydra,125363,,0.0,0,7757824,7757824,4,11788288,29573120,,9637888,847872,248656,7757824,872448,4785152,2,11,False,,,
1785715468.242745,hydra,125363,,0.0,0,7757824,7757824,4,12050432,29573120,,9658368,856064,262608,7757824,872448,4785152,2,11,False,,,
1785715469.2436488,hydra,125363,,0.0,0,7757824,7757824,4,12050432,29573120,,9670656,856064,262608,7757824,872448,4785152,2,11,False,,,
1785715470.244585,hydra,125363,,0.0,0,7757824,7757824,4,11894784,29573120,,9674752,856064,258512,7757824,872448,4785152,2,11,False,,,
1785715471.2458625,hydra,125363,,0.0,0,7757824,7757824,4,11894784,29573120,,9682944,856064,259104,7757824,872448,4785152,2,11,False,,,
1785715472.246766,hydra,125363,,0.0,0,7757824,7757824,4,11894784,29573120,,9691136,856064,255040,7757824,872448,4785152,2,11,False,,,
1785715473.2476742,hydra,125363,,0.0,0,7757824,7757824,4,11894784,29573120,,9695232,860160,255040,7757824,872448,4785152,2,11,False,,,
1785715474.2485924,hydra,125363,,0.0,0,7757824,7757824,4,11894784,29573120,,9699328,860160,255040,7757824,872448,4785152,2,11,False,,,
1785715475.2495434,hydra,125363,,0.0,0,7757824,7757824,4,11894784,29573120,,9707520,860160,255040,7757824,872448,4785152,2,11,False,,,
1785715476.250866,hydra,125363,,0.0,0,7757824,7757824,4,11894784,29573120,,9707520,860160,255040,7757824,872448,4785152,2,11,False,,,
1785715477.2518034,hydra,125363,,0.0,0,7757824,7757824,4,11894784,29573120,,9711616,860160,255040,7757824,872448,4785152,2,11,False,,,
1785715478.2526605,hydra,125363,,0.0,0,7757824,7757824,4,11894784,29573120,,9711616,860160,255040,7757824,872448,4785152,2,11,False,,,
1785715479.2540004,hydra,125363,,0.0,0,7757824,7757824,4,11894784,29573120,,9711616,864256,255040,7757824,872448,4785152,2,11,False,,,
1785715480.254962,hydra,125363,,0.0,0,7757824,7757824,4,11894784,29573120,,9711616,864256,255040,7757824,872448,4785152,2,11,False,,,
1785715481.2559063,hydra,125363,,0.0,0,7757824,7757824,4,11952128,29573120,,9711616,864256,259696,7757824,872448,4785152,2,11,False,,,
1785715482.2567773,hydra,125363,,0.0,0,7757824,7757824,4,11952128,29573120,,9711616,864256,255632,7757824,872448,4785152,2,11,False,,,
1785715483.2576544,hydra,125363,,0.0,0,7757824,7757824,4,11952128,29573120,,9715712,864256,255632,7757824,872448,4785152,2,11,False,,,
1785715484.2585866,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,868352,259696,7757824,872448,4785152,2,11,False,,,
1785715485.2599578,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,868352,255632,7757824,872448,4785152,2,11,False,,,
1785715486.2608747,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,868352,255632,7757824,872448,4785152,2,11,False,,,
1785715487.2617884,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,868352,255632,7757824,872448,4785152,2,11,False,,,
1785715488.262682,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,868352,255632,7757824,872448,4785152,2,11,False,,,
1785715489.2635686,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,868352,255632,7757824,872448,4785152,2,11,False,,,
1785715490.2648473,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,872448,255632,7757824,872448,4785152,2,11,False,,,
1785715491.2658036,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,872448,255632,7757824,872448,4785152,2,11,False,,,
1785715492.266736,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,872448,255632,7757824,872448,4785152,2,11,False,,,
1785715493.2677243,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,872448,255632,7757824,872448,4785152,2,11,False,,,
1785715494.2687128,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,876544,255632,7757824,872448,4785152,2,11,False,,,
1785715495.269629,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,880640,255632,7757824,872448,4785152,2,11,False,,,
1785715496.270626,hydra,125363,,0.0,0,7757824,7757824,4,11960320,29573120,,9715712,880640,255632,7757824,872448,4785152,2,11,False,,,
