timestamp	phase	detail
1785717033.304268107	start	expiry-reclamation
1785717033.309147628	ttl-set	1
1785717111.167736725	ttl-after	1
1785717111.169422839	ttl-set	2
1785717187.618512135	ttl-after	2
1785717187.620118909	ttl-set	3
1785717264.175014715	ttl-after	3
1785717264.176620379	ttl-set	4
1785717341.630180146	ttl-after	4
1785717341.631913171	ttl-set	5
1785717418.596390961	ttl-after	5
1785717418.598125716	ttl-set	6
1785717494.877746992	ttl-after	6
