timestamp	phase	detail
1785718359.859170143	start	cycle-reset
1785718359.863953084	load	1
1785718363.125927328	reset	1
1785718393.374668000	load	2
1785718396.537005739	reset	2
1785718426.741865535	load	3
1785718433.917451403	reset	3
1785718464.119080925	load	4
1785718472.925849020	reset	4
1785718503.125673069	load	5
1785718511.544135137	reset	5
1785718541.731814442	load	6
1785718546.709785367	reset	6
