timestamp_unix,target,pid,container_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785700233.2628663,hazelcast,13674,0.0,8689,397180928,407392256,0-15,377946112,388710400,,False,,,
1785700234.263699,hazelcast,13674,0.654,8699,397459456,407392256,0-15,378834944,388710400,,False,,,
1785700235.2645688,hazelcast,13674,0.9076,8714,397463552,407392256,0-15,379056128,388710400,,False,,,
1785700236.2654197,hazelcast,13674,0.8643,8727,397463552,407392256,0-15,378953728,388710400,,False,,,
1785700237.2663567,hazelcast,13674,0.9173,8743,397467648,407392256,0-15,378916864,388710400,,False,,,
1785700238.2672563,hazelcast,13674,1.0011,8759,397467648,407392256,0-15,378830848,388710400,,False,,,
1785700239.2682626,hazelcast,13674,0.7647,8771,397459456,407392256,0-15,378580992,388710400,,False,,,
1785700240.2691119,hazelcast,13674,0.6747,8781,397459456,407392256,0-15,378839040,388710400,,False,,,
1785700241.2699528,hazelcast,13674,0.8192,8795,397463552,407392256,0-15,379011072,388710400,,False,,,
1785700242.2708137,hazelcast,13674,0.9731,8810,397463552,407392256,0-15,378961920,388710400,,False,,,
