timestamp	phase	detail
1785718577.317661190	cycle-start	1
1785718607.687714874	cycle-stop	1
1785718607.907075645	cycle-start	2
1785718638.284352561	cycle-stop	2
1785718638.503658452	cycle-start	3
1785718668.888390421	cycle-stop	3
1785718669.107932724	cycle-start	4
1785718699.489072359	cycle-stop	4
1785718699.709011346	cycle-start	5
1785718730.094876948	cycle-stop	5
1785718730.313620705	cycle-start	6
1785718760.689348436	cycle-stop	6
