timestamp	phase	detail
1785717966.622561960	start	cycle-reset
1785717966.626544034	load	1
1785717969.002398635	reset	1
1785717999.012868799	load	2
1785718001.386985511	reset	2
1785718031.397515673	load	3
1785718033.777301809	reset	3
1785718063.787889755	load	4
1785718066.170134697	reset	4
1785718096.181041525	load	5
1785718098.564333711	reset	5
1785718128.574846622	load	6
1785718130.959322171	reset	6
