timestamp_unix,target,pid,container_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785695783.1255724,redis,2380,0.0,6363,15187968,27222016,0-15,23126016,35430400,,False,,,
1785695784.1263897,redis,2380,5.4373,6450,15564800,27222016,0-15,23822336,35430400,,False,,,
1785695785.1272337,redis,2380,5.5201,6538,15634432,27222016,0-15,23826432,35430400,,False,,,
