timestamp_unix,target,pid,container_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785694548.130662,redis,2380,5.196,673,14553088,15204352,0-15,22032384,22986752,,False,,,
1785694549.1314466,redis,2380,5.4992,761,14553088,15204352,0-15,22032384,22986752,,False,,,
1785694550.1322682,redis,2380,5.5643,850,14553088,15204352,0-15,22032384,22986752,,False,,,
