experiment	target	case	status	detail
08-concurrency	redis	clients-50	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/08-concurrency/redis/clients-50
08-concurrency	redis	clients-100	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/08-concurrency/redis/clients-100
08-concurrency	hazelcast	clients-1	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/08-concurrency/hazelcast/clients-1
08-concurrency	hazelcast	clients-10	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/08-concurrency/hazelcast/clients-10
08-concurrency	hazelcast	clients-50	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/08-concurrency/hazelcast/clients-50
08-concurrency	hazelcast	clients-100	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/08-concurrency/hazelcast/clients-100
09-restart	hydra	restart-durability	complete	restart-observation-recorded
09-restart	redis	restart-durability	complete	restart-observation-recorded
09-restart	hazelcast	restart-durability	not_applicable	restart_semantics_not_comparable
10-payload	hydra	payload-64	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/hydra/payload-64
10-payload	hydra	payload-256	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/hydra/payload-256
10-payload	hydra	payload-1024	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/hydra/payload-1024
10-payload	hydra	payload-4096	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/hydra/payload-4096
10-payload	redis	payload-64	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/redis/payload-64
10-payload	redis	payload-256	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/redis/payload-256
10-payload	redis	payload-1024	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/redis/payload-1024
10-payload	redis	payload-4096	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/redis/payload-4096
10-payload	hazelcast	payload-64	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/hazelcast/payload-64
10-payload	hazelcast	payload-256	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/hazelcast/payload-256
10-payload	hazelcast	payload-1024	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/hazelcast/payload-1024
10-payload	hazelcast	payload-4096	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/10-payload/hazelcast/payload-4096
